,time,Sid,HRCount,FanEngageScore,TapCounts,WaveCounts,WhistlesRedeemed,HRDeviceTypeId,Id,Retweet count,polarity_C,subjectivity,sentiment,highlights
19,30-04-2021 19:47,21.5,75.5,6.3,645.5,98,681.5,3,1.39E+18,21.9137931,0.103812914,0.210280608,0.275862069,-1
20,30-04-2021 19:48,838,78,5.766666667,430.3333333,66.33333333,454.3333333,3,1.39E+18,29.92424242,0.105100564,0.234104938,0.257575758,0
21,30-04-2021 19:49,21.5,88.5,6.55,645.5,98,681.5,3,1.39E+18,3.076923077,0.041448481,0.232452231,0.163461538,-2
22,30-04-2021 19:50,838,76.66666667,5.6,430.3333333,66.33333333,454.3333333,3,1.39E+18,20.44554455,0.073147315,0.180001572,0.277227723,1
23,30-04-2021 19:51,838,79.33333333,6.3,430.3333333,66.33333333,454.3333333,3,1.39E+18,11.49367089,0.05725211,0.270192887,0.101265823,0
24,30-04-2021 19:52,21.5,90,6.55,645.5,98,681.5,3,1.39E+18,72.1509434,0.163953665,0.428219754,0.433962264,1
25,30-04-2021 19:53,838,90.33333333,6.8,443.6666667,68,454.3333333,3,1.39E+18,63.15517241,0.111945813,0.307443897,0.396551724,-3
26,30-04-2021 19:54,838,83.33333333,6.466666667,443.6666667,68,454.3333333,3,1.39E+18,79.375,0.180293561,0.3390625,0.4125,1
27,30-04-2021 19:55,838,77.33333333,5.6,443.6666667,68,454.3333333,3,1.39E+18,1.804597701,0.080285615,0.208237548,0.344827586,-3
28,30-04-2021 19:56,838,86.66666667,6.466666667,443.6666667,68,454.3333333,3,1.39E+18,55,0.127172519,0.266358025,0.365079365,4
29,30-04-2021 19:57,838,72.66666667,5.6,443.6666667,68,454.3333333,3,1.39E+18,43.42857143,0.083030303,0.209047619,0.285714286,4
30,30-04-2021 19:58,42,93,6.8,1266,92,13,3,1.39E+18,72.11764706,0.132755284,0.262282913,0.305882353,4
31,30-04-2021 19:59,21.5,87,6.55,645.5,98,681.5,3,1.39E+18,3.537037037,0.05667789,0.215011223,0.166666667,0
32,30-04-2021 20:00,21.5,70,5.25,645.5,98,681.5,3,1.39E+18,4.345454545,0.098051948,0.162597403,0.254545455,-3
33,30-04-2021 20:01,838,77.66666667,5.766666667,443.6666667,68,454.3333333,3,1.39E+18,6.223021583,0.036315519,0.129948613,0.100719424,1
34,30-04-2021 20:02,1,82,6.3,25,104,1350,3,1.39E+18,21.19318182,0.115654516,0.143979978,0.204545455,6
35,30-04-2021 20:03,1,81,6.3,25,104,1350,3,1.39E+18,8.027777778,0.032891414,0.274305556,0.194444444,6
36,30-04-2021 20:04,1,83,6.3,25,104,1350,3,1.39E+18,34.70454545,0.14345853,0.227898096,0.352272727,-3
37,30-04-2021 20:06,1,80,7,3,4,0,3,1.39E+18,42.28767123,0.058928571,0.189880952,0.123287671,-3
38,30-04-2021 20:07,1,82,7,29,105,1350,3,1.39E+18,14.81914894,0.023518237,0.146518631,0.031914894,0
39,30-04-2021 20:08,1,63,4.2,29,105,1350,3,1.39E+18,72.64864865,0.016410729,0.135397898,0.108108108,4
40,30-04-2021 20:09,1,75,6.3,29,105,1350,3,1.39E+18,0.666666667,0.045454545,0.333333333,0.333333333,0
41,30-04-2021 20:10,21.5,83,6.3,647.5,98.5,681.5,3,1.39E+18,0.666666667,0.045454545,0.333333333,0.333333333,1
42,30-04-2021 20:11,1,81,6.3,29,105,1350,3,1.39E+18,4.666666667,0.333333333,0.1,0.333333333,1
43,30-04-2021 20:12,1,71,6.3,29,105,1350,3,1.39E+18,2.5,-0.00625,0.32875,0,1
44,30-04-2021 20:13,1236,85,6.3,34.5,56.5,675,3,1.39E+18,2.5,0.025,0.075,0.25,4
45,30-04-2021 20:14,1236,78.5,6.3,34.5,56.5,675,3,1.39E+18,3.375,0.415625,0.278125,0.625,6
46,30-04-2021 20:15,1236,76,6.3,34.5,56.5,675,3,1.39E+18,0.833333333,0.013888889,0.062037037,0.166666667,0
47,30-04-2021 20:16,1236,72.5,5.25,34.5,56.5,675,3,1.39E+18,4.4,0.125,0.16,0.4,4
48,30-04-2021 20:17,1236,69,4.2,34.5,56.5,675,3,1.39E+18,6.705882353,0.008823529,0.012745098,0.058823529,1
49,30-04-2021 20:18,1236,71.5,5.25,34.5,56.5,675,3,1.39E+18,31.43478261,-0.026086957,0.166666667,-0.086956522,1
50,30-04-2021 20:19,1236,74.5,5.25,34.5,56.5,675,3,1.39E+18,9.5,-0.006335678,0.076683752,-0.020833333,-3
51,30-04-2021 20:20,1236,86,6.55,34.5,56.5,675,3,1.39E+18,6.660377358,0.085906232,0.103459119,0.226415094,-2
52,30-04-2021 20:21,1236,80,6.3,34.5,56.5,675,3,1.39E+18,9.967741935,0.061290323,0.206451613,0.096774194,6
