time,Sid,HRCount,FanEngageScore,TapCounts,WaveCounts,WhistlesRedeemed,TeamName,HRDeviceTypeId
30-04-2021 20:27,1,80,6.3,29,105,1350,Bangalore,3
30-04-2021 20:28,1,80,6.3,29,105,1350,Bangalore,3
30-04-2021 20:29,1,81,6.3,29,105,1350,Bangalore,3
30-04-2021 20:30,1,77,6.3,29,105,1350,Bangalore,3
30-04-2021 20:31,1,83,6.3,29,105,1350,Bangalore,3
30-04-2021 20:32,1,89,6.3,29,105,1350,Bangalore,3
30-04-2021 20:33,1,76,6.3,29,105,1350,Bangalore,3
30-04-2021 20:34,1,77,6.3,29,105,1350,Bangalore,3
30-04-2021 20:35,1,77,6.3,29,105,1350,Bangalore,3
30-04-2021 20:36,1,80,6.3,29,105,1350,Bangalore,3
30-04-2021 20:37,1,82,6.3,29,105,1350,Bangalore,3
30-04-2021 20:38,1,80,6.3,29,105,1350,Bangalore,3
30-04-2021 20:39,1,86,6.3,29,105,1350,Bangalore,3
30-04-2021 20:40,1,67,4.2,29,105,1350,Bangalore,3
30-04-2021 20:41,1,77,6.3,29,106,1350,Bangalore,3
30-04-2021 20:42,1,80,7,29,106,1350,Bangalore,3
30-04-2021 20:43,1,82,6.3,29,106,1350,Bangalore,3
30-04-2021 20:44,1,89,6.3,29,106,1350,Bangalore,3
30-04-2021 20:45,1,91,6.8,29,106,1350,Bangalore,3
30-04-2021 20:46,1,73,6.3,29,106,1350,Bangalore,3
30-04-2021 20:47,1,80,6.3,29,106,1350,Bangalore,3
30-04-2021 20:48,1,79,6.3,29,106,1350,Bangalore,3
30-04-2021 20:49,1,69,4.2,29,106,1350,Bangalore,3
30-04-2021 20:50,1,75,6.3,29,106,1350,Bangalore,3
30-04-2021 20:51,1,86,6.3,29,106,1350,Bangalore,3
30-04-2021 20:52,1,79,6.3,29,106,1350,Bangalore,3
30-04-2021 20:53,1,75,6.3,29,106,1350,Bangalore,3
30-04-2021 20:54,1,78,6.3,29,106,1350,Bangalore,3
30-04-2021 20:55,1,66,4.2,29,106,1350,Bangalore,3
30-04-2021 20:56,1,81,6.3,29,106,1350,Bangalore,3
30-04-2021 20:57,1,74,6.3,29,106,1350,Bangalore,3
30-04-2021 20:58,1,78,6.3,29,106,1350,Bangalore,3
30-04-2021 20:59,1,78,6.3,29,106,1350,Bangalore,3
30-04-2021 21:00,1,78,6.3,29,106,1350,Bangalore,3
30-04-2021 21:01,1,65,4.2,29,106,1350,Bangalore,3
30-04-2021 21:02,1,85,6.3,29,106,1350,Bangalore,3
30-04-2021 21:03,1,77,6.3,29,106,1350,Bangalore,3
30-04-2021 21:04,1,88,6.3,29,106,1350,Bangalore,3
30-04-2021 21:07,1,84,6.3,29,106,1350,Bangalore,3
30-04-2021 21:08,1,95,6.8,29,106,1350,Bangalore,3
30-04-2021 21:09,1,72,6.3,29,106,1350,Bangalore,3
30-04-2021 21:10,1,76,6.3,29,106,1350,Bangalore,3
